8:30 Course n° 52 Open femmes C-1 200m Éliminatoire 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
1,,,
2,Otterburn 2009 Maelie Levesque,,
3,Trois-Rivières 2007 Flavie Martin,,
4,Otterburn 2009 Julianne Pronovost,,
5,Onake 2001 Konwanakeren Diabo,,
6,Lac-Beauport 2007 Leia Stephenson,,
7,Lac-Beauport 2011 Olivia Desrosiers-Mc Arthur,,
8,Pointe-Claire 2010 Florence Stewart-Mueller,,
9,,,
8:34 Course n° 53 Open femmes C-1 200m Éliminatoire 2,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,Otterburn 2009 Coralie Timmons,,
3,Lac-Beauport 2010 Abigail Harrington,,
4,Cascades 2006 Florence Gauthier,,
5,Lac-Beauport 2006 Charlotte C. Desy,,
6,Lac-Beauport 2010 Maya Noel,,
7,Otterburn 2008 Eloise Gamache,,
8,Cascades 2010 Katsya Ranson,,
9,,,
8:38 Course n° 54 Open femmes C-1 200m Éliminatoire 3,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,Trois-Rivières 2007 Maeva Emond,,
3,Lac-Beauport 2010 Emma-Rose Nadeau,,
4,Otterburn 2004 Leanne Castonguay,,
5,Lac-Beauport 2004 Alexia Gagnon,,
6,Lac-Beauport 2011 Maelle Girard,,
7,Lac-Beauport 2008 Nora-Maelie Turcotte,,
8,Pointe-Claire 2011 Olive Archambault,,
9,,,
M-14 femmes K-1 200m,,,
