9:15 Course n° 14 Samedi 24 mai Éliminatoire1,col_1,col_2,col_3
Couloir,Club rang Équipage,Résultats,Temps
5,Lachine 1 Alina Tverie,1,"49,32"
6,Lachine 5 Florence Hamel,2,"50,29"
2,Sherbrooke 12 Victoria Lavallée-Latour,3,"51,84"
3,Trois-Rivières 8 Maïka St-Yves,4,"52,52"
4,Lachine 4 Ariane Loisel,5,"53,13"
7,Sherbrooke 9 Megan Champagne,6,"53,48"
8,Lac-Beauport 13 Margaux Loyer,7,"54,29"
1,,,
9,,,
9:20 Course n° 15 Samedi 24 mai Éliminatoire2,,,
Couloir,Club rang Équipage,Résultats,Temps
4,Lachine 3 Calina Bidal,1,"48,49"
2,Trois-Rivières 11 Anaïs Lapointe,2,"49,08"
3,Lac-Beauport 7 Marie Chamberland,3,"49,26"
6,Trois-Rivières 6 Mathilde Patry,4,"50,56"
5,Lachine 2 Béatrice charbonneau-Morin,5,"51,53"
7,Lachine 10 Clara Blanchette,6,"55,18"
1,Lac-Beauport 15 Flavie Langlois,7,"55,77"
8,Cascade 14 Mia Zahab,8,"55,82"
9,,,
