9:15 AM - Race #96 - Heat 1 - Advancement/Progression: 1/3 + next 3 BT to Final; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Connor FITZPATRICK,Senobe,1:54.212,0:00.000
2,6,Nikita CIUDIN,Calgary,1:56.534,0:02.322
3,4,Viktor HARDY,Lac-Beauport,1:58.132,0:03.920
4,7,Alexander MACNEIL,Maskwa,1:58.517,0:04.305
5,2,Nicholas SHIROKOV,Mississauga,1:59.322,0:05.110
6,3,Peter BRADLEY,Rideau,1:59.827,0:05.615
7,8,Isaac FINKELSTEIN,Rideau,2:00.201,0:05.989
8,9,Ludovik RIOUX,Otterburn,2:06.212,0:12.000
9,1,Lucas WILLIAMS,Mississauga,2:06.879,0:12.667
